#africa,#africa
#edworks,#edworks
#gpzvhrk,#gpzvhrk
#issawholenewvibe,#issawholenewvibe
#jobs,#jobs
#jobszimbabwe,#jobszimabwe
#legacyrealestate,#legacyrealestate
#partycipate,#participate
#rawsonproperties,#rawsonproperties
#redmarketsunday,#redmarketsGunday
#registertovote,#registertovote
#rip,#rip
#shoko2022,#shoko2022
#skyryanproperties,#skyryanproperties
#thehubzw,#TheHubzw
#zanupfmustgo,#zanupfumstgo
$30,$30
$60,$60
*,
00,00
07,07
08,08
100%,100%
13,13
1998,1998
207,207
2am,2am
33,33
39,39
40k,40k
5am,5am
5kg,5kg
70,70
77,77
=,
@alpha,@alpha
@alwyn,@alwyn
@anti,@anti
@antipeaceman,@antipeaceman
@arniek25aarnold,@arniek25aarnold
@arthur85026546,@arthur85026546
@auzy,@auzy
@babatafi,@babati
@bellamelz12,@bellamelz12
@bernsoft2,@Bernsoft2
@black,@black
@boriscde,@boriscde
@bradelyboy,@bradelyboy
@buhle,@ beauty
@castlelagerzw,@castlelagerzw
@chris79016670,@chris79016670
@costmillions,@costmillions
@crussymalvin,@crussymalvin
@dandepartners,@dandepartners
@dave,@dave
@david7zoe,@ David7zoe
@denfordngadzio1,@ Denfordao1
@designerguyzw,@designerguyzw
@dialo,@dialo
@eargroundzw,@eargroundzw
@eddie,@eddie
@effort,@effort
@ekayzee,@ekayzee
@elliotlinksync,@elliotlinksync
@elonmusk,@elon musk
@emteeen,@emteen
@everjoicewin,@everjoicewin
@faffienesongano,@Faffienesongano
@fatso4real,@fatso4real
@frcombo,@frcombo
@gnashkid,@gnashkid
@gr4youdontlike,@gr4youdontlike
@gushaz28,@gushaz28
@harare,@harare
@hellen,@hellen
@hermanmashaba,@hermanmashaba
@iammisstc,@iammisstc
@imnotaforeigner,@IMNOTAFEIGNER
@irvinesz,@IRVINESZ
@ishemagos,@ishemagos
@itsstartup,@itsstartup
@jaisonshazhiwe,@jaisonshazhiwe
@joebiden,@joebiden
@kaviyagertrude,@kaviyagertrude
@kingmhare1,@kingmhare1
@kudakwaishe19,@ to Revhebesa19
@ladenraww,@ladenraww
@leninroger,@leninroger
@lisah,@lisah
@lordsalisburry,@lordsalisburry
@lovemore070,@lovemore070
@lovenesssilenje,@lovenessSilenje
@luciferstar,@luciferstar
@lyn,@lyn
@machenjerap,@machenjerap
@madhube01,@KUBUBU01
@maluvamalvern,@maluvamalvern
@marrionmubawu,@marrionmubawu
@marthasekeramay,@marthasekeramay
@marvelous,@marvelous
@mavasaobey,@mavaxobey
@mcchenje,@mcchenje
@messangerbro,@messangerbro
@mhtestd,@mhtestd
@mhungu,@
@mhurirofarai,@sharaw
@michaelbucwa,@michaelbucwa
@missv,@missv
@mitchie,@mitchie
@munamati7,@ is a worshiper7
@ndauvarsity,@ndauvarsity
@netonecellular,@netonerellular
@ngpindemukomana,@gil
@nicksonmpofu,@nicksonmofu
@noth,@noth
@omasaraure,@sover
@oppamuchinguri,@oppamuchinguri
@peemix01,@peemix01
@phillip,@phillip
@piersmorgan,@piersmorgan
@rachel,@rachel
@realhusband1,@Realhusband1
@redmarketsunday,@redmarketsunday
@richardtawanda,@richardtawanda
@rno,@rno
@rufarorufaro7,@ rife happy7
@rutendocindy,@ricutocindy
@ruth9027,@ruth9027
@sabhuku,@sa book
@sarahtaye81,@sarahtaye81
@shanon,@shanon
@shariwa,@shariwa
@sharlene898,@sharlene898
@sheconquers4,@sheconquers4
@sibert,@sibert
@sire,@sire
@slender,@slender
@smangovacho,@smangovacho
@takudzwa0117,@ Archeo 0117
@takudzwamac,@taignumac
@talemagara,@talemagara
@tamiswa,@Topped
@tapiwamunjoma,@tor-adjustment
@tawandachiware3,@ Tawchyware3
@tawazwilson,@tawazwilson
@tcnemaungwe,@tcnemangwe
@teachers,@teachers
@teemadzika,@temadzika
@thaslickpastor,@thaslickpastor
@theavengerzwl,@theavengerzwl
@therealbigtee1,@therealbigtee1
@tichafatmudzana,@chaafatology
@tinashechirape,@stinachchipe
@tinei2010,@Tinei2010
@tinotendaphile2,@ we have augeepho2
@tirimusango,@Vivobu
@tonde,@tonde
@vagudo11,@vagudo11
@villageman263,@villageman263
@wezhex,@wezhex
@whatsup,@whatsup
@yellowzimbabwe,@yellowzimbabwe
@zimta01,@zimta01
@zse,@Zse
@zwolugazwothed,@zwolugazwothed
abuser,abuser
achahwina,will win
acharamba,will remain
achitadza,sinning
adeepisa,adepisa
adzingwa,is dismissed
agadzirise,correct
agent,agent
ahead,ahead
ain,ain
aitwa,was made
akafanana,the same
akahwina,he won
akajeka,it is clear
akakundikana,failed
akangofanana,he's just the same
akanyarara,quiet
akapera,ended
akapfuma,he is rich
akapusa,stupid
akaromba,she rocked
akarwa,fought
akatadza,he failed
akataurirwa,was told
akuna,No
akusi,It's not
akutonzi,utichi
amo,amo
ando,ando
andy,andy
anedzungu,Show
anemakore,she is a cloudy
anobika,cooks
anodhura,is expensive
anokunda,wins
anonwa,drinking
anonyepa,he is lying
anosvika,up to
anytime,anytime
apartment,apartment
area,area
arikupi,where is he
arikurova,he is striking
asingazive,unconscious
atadza,has failed
atone,atone
attacking,attacking
auction,auction
avalon,Avalon
avenue,avenue
award,award
aye,aye
banking,banking
bans,bans
bbe,bbe
beat,beat
bhule,bhule
billion,billion
blaming,blaming
blind,blind
bloody,bloody
bodo,will
bonyora,bother
bra,bra
bread,bread
brooke,brooke
buat,create
budiriro,success
bulilima,Bulalalima
buri,buri
butcheries,butcheries
candy,candy
ccczimbabwe,CCCCGAH
chairi,chairi
chaita,it has done
chakanaka,good
chakazara,full
channel,channel
charity,charity
chavanofunga,what they think
cheat,cheat
chegumi,tenth
cheku,of
chezimbabwe,of Zimbabwe
chibhoyi,a goy
chichauraya,chichauraya
chigodo,a jealousy
chiii,what
chikomba,the bride
chimoko,it is
chimukai,arise
chinoita,makes
chirega,stop
chirongwa,a plan
chivanhu,people
chivharo,cover
chokuba,to steal
chopenga,crazy
christ,christ
cluster,cluster
cold,cold
college,college
common,common
condevproperty,condevproperty
confessions,confessions
congrats,congrats
context,context
cottage,cottage
coventry,coventry
cr7,cr7
cyber,cyber
damn,damn
davi,davi
deadly,deadly
december,december
define,define
dhodhi,dhoti
diaries,diaries
direct,direct
district,district
dj,dj
double,double
drawing,drawing
dreams,dreams
driving,driving
dry,dry
duramazwi,dictionary
dza,what
dzanga,were
dzekwababa,father
dzevamwe,of others
dzidzai,learn
dzikamai,cough
dzinoti,they say
dzirimo,There are
dziripo,are there
ecocash,ecocash
edzimba,houses
effort,effort
eharare,In Harare
ehee,hence
ejm,ehm
ekare,old
ele,he
emunhumutapa,for a plot
english,english
entry,entry
esolar,esolar
evil,evil
example,example
explain,explain
ezanu,ezani
f*ck,f*ck
fadzie,fursee
fans,fans
female,female
fish,fish
flat,flat
folks,folks
found,found
fun,fun
gafa,genealogy
gaga,gaga
gardens,gardens
gateway,gateway
gave,gave
gedhi,gate
gem,gem
gochi,The action is done
gondo,eagle
gone,gone
guka,applied
gully,gully
gumiguru,October
gutsa,satisfy
gwanda,papaka
gwetengwe,the corner
haapo,is not there
hacho,it is
haikwane,does not fit
hair,hair
haite,packs
half,half
hamudi,you don't
handsome,handsome
hapanawo,There is nothing
harry,harry
hatfield,hatfield
hatimire,hatimire
hatisikumira,we do not look
hauwani,hawani
havafanire,they should not
havatani,they do not
havazive,they don't know
hayi,No
hazvipere,it does not end
heeee,heeee
hicc,hicc
highfield,highfield
hiv,hiv
hofisi,office
horny,horny
humbimbindoga,losebindoga
humbula,cuggle
hunters,hunters
hwavo,their
hwema,the
icha,icha
ichienda,it goes
ichikupa,gives you
ichinzi,is called
ichiri,it is still
ichoo,itor
iharare,is izarare
imbudzi,a goat
imf,imf
imhata,import
imhosva,it is a crime
imika,now
imombe,beam
industrial,industrial
ingawani,can be
inonaka,delicious
inorarama,lives
inosara,remains
inotengeswa,is sold
inovava,becomes
insiza,service
instead,instead
interchange,interchange
intern,intern
inzwa,senseless
ishe,Lord
jani,jani
jnr,jnr
joji,Joji
jongwe,cock
kake,you are
kamari,yesterday
kamuri,room
kimmich,kimmich
kings,kings
korea,korea
kubhadara,bidara
kubhaibheri,to the Bible
kubvuma,to accept
kudonhedza,drop
kudzie,to sleep
kudzokera,back
kudzorera,to retaliate
kuguma,the end
kuhupenyu,to life
kuhwina,win
kujekesa,jecess
kukama,cucumbers
kukudza,honor
kukuroora,marry you
kumaricho,to the latter
kumupedzanhamo,Adding to Him
kumwa,to drink
kunanzva,lick
kungonzi,just said
kungosasa,just camping
kunorapwa,is treated
kunoroora,it is getting married
kunouya,comes
kunyangwe,even if
kunyepera,to lie
kunyora,to write
kunzwirwa,be heard
kupfura,shooting
kupota,utter
kupusa,cabbage
kurai,which
kurangarira,to remember
kuremekedzwa,respected
kurepublic,kurepublic
kurota,dream
kurwadzisa,hurt
kushoropodza,criticism
kusimuka,getting up
kusura,sorry
kusvirana,to have a partner
kusvitsa,to meet
kutarisa,to check
kutengeswa,sold
kuteya,bitch
kutipa,to give us
kutodya,to eat
kutotenga,to buy
kutuma,to send
kuuni,until the moon
kuvhara,to close
kuwirirana,correspondence
kuzungaira,to wander
kwamutare,tire
kwawo,exclusive
kwenguva,for a period of time
kwerudzi,of the nation
laura,laura
layer,layer
ld,ld
left,left
leonard,leonard
lessons,lessons
levels,levels
librao,librao
lil,lil
load,load
looking,looking
lord,lord
lunch,lunch
maartist,artist
mabhero,bells
machine,machine
magara,Magara
makanzi,you are called
makes,makes
makorokoto,congratulations
makudo,bye
makuru,great
malema,malema
malessons,malessons
mambokadzi,queen
manyama,MANY
manyenga,funnel
marights,marights
mashaba,mashaba
mashanu,five
maside,maside
mat,mat
matanga,kind
matayi,the fourth
matsha,new
mave,stomach
mayasi,Mayasi
mazimbabweans,Zimbabweans
mazinga,levels
mboro,powers
meghan,meghan
mevanhu,mere people
mharidzo,message
mhoro,Hello
mibairo,rewards
mibvunzo,Questions
microwave,microwave
mifananidzo,images
mimmz,Mimmz
mindset,mindset
mines,mines
missj,missj
mitengo,price-list
module,module
monetsana,monetsana
mothers,mothers
mpofu,poor
msg,msg
mt,mt
mtc,mtc
muchero,fruit
muchetura,carriage
muchinda,prince
muchiri,you still
mudare,court
muhighlands,Muhighlands
muhuni,in the wood
muhurombo,in poverty
muimbi,singer
mujoina,Mujoina
mukudzei,tell
mukugadzwa,In Appointment
mum,mum
mumatunhu,in regions
mumota,in a car
mumunda,in the field
mumuromo,in the mouth
munashe,in the Lord
munewlands,munewlands
munhumutema,a person
munoziva,You know
munzeve,in the ear
muparty,muparty
mupengo,crazy
mupfungwa,in mind
mupot,mung
musaise,Muse
musika,music
musisina,no more
mutasa,tough
mutengi,customer
mutinhimira,sound
mutsanangure,explanate
muwashington,in Washington
myself,myself
myte,myth
na8,na8
najob,salvation
nambuya,Grandmother
napo,Napo
natezvara,with a father
ndadzidza,I have learned
ndarota,i dreamed
ndarwadziwa,ndarwadziwa
ndatanga,I've started
ndatenga,i bought
ndeyavo,is their
ndichibvunza,asking
ndinogara,i live
ndive,with
ndofarira,I like
ndokupa,and gave
ndokwanisa,I can
ndouya,will come
ndozvatiri,That's what we're
nduwe,nduwe
necessary,necessary
nechokwadi,Of course
necorruption,necorruption
nekubirwa,nekubirwa
nekunyepa,nekunyepa
nekushaya,by the lack of
nemadrinks,nemadrinks
nemhepo,by wind
nemo,nemo
nemvura,With water
nenhamo,misery
nenhema,false
nenyama,with meat
nenzizi,with rivers
nepo,Privilege
nepolice,non -pionees
neshadaya,neshadaya
neshungu,with grief
net,net
netone,by tone
nezveiko,about what
nezviri,with what
ngaabike,NgÄ Korta
ngarivhume,let it open
ngavasadaro,may not
ngavasiyane,let them depart
ngochani,gays
nguvo,a garment
nhando,thread
nhembe,the ladder
nhomba,boil
nhume,delegates
nhumwa,delegation
nicholas,nicholas
nightnurse,nightnurse
njovana,njovana
nokugadzira,By making
nokuita,by performance
nomukadzi,with a woman
notice,notice
nzwirai,take to you
oda,oda
opposite,opposite
outside,outside
oxnajneqyz,Oxnajnqyz
pachikoro,at school
pack,pack
package,package
padura,marsh
paint,paint
pakufa,at death
pakutaura,when speaking
palunch,palunch
pamusha,at home
pamushandi,at a staff
panhamba,on the number
papayaisa,Papayaisa
paripo,it is available
parizvino,at the moment
paside,bottom
pasocialism,pasocialism
pastage,pasture
pava,they are
pavo,them
pazbc,pazbc
peaceful,peaceful
pedu,to us
pedzezvo,it is
peer,peer
percentage,percentage
perish,perish
petty,petty
pill,pill
positions,positions
potse,miss
prayer,prayer
prefect,prefect
prie,to
pwere,youth
quad,quad
quart,quart
que,what
raanoenda,raanoenda
rabies,rabies
rakanaka,good
ramba,turn down
ranhasi,date
rasberry,rasberry
rashadaya,Rashadaya
redz,see
rekare,old
release,release
remashoko,of words
remitemo,of law
renyaradzo,reject
repeat,repeat
republic,republic
reshadaya,fiber
response,response
rev,rev
rezviyo,of the grain
riinhi,riinhi
rinojairira,it is a master
rinonaka,sweet
ripi,which one
rive,rive
roast,roast
role,role
romance,romance
romantic,romantic
roundabout,roundabout
royal,royal
rudzi,nationality
sanction,sanction
savage,savage
seke,don't
sekunge,as if
sekuwana,as found
semuenzaniso,for example
seriously,seriously
shady,shady
sharara,sharara
sharo,Sharo
shava,shake
similar,similar
simping,simping
siyayi,we are
soccer,soccer
soko,market
solar,solar
sounds,sounds
spaghetti,spaghetti
spin,spin
stadium,stadium
stand,stand
stanley,stanley
stats,stats
stereki,steer
sungai,sungai
sunungukai,free
super,super
systems,systems
tag,tag
takambo,We have been
takawirirana,we are in harmony
taken,taken
tasvika,we have arrived
tatenda,Thanks
taurai,speak
teams,teams
tee,tee
tega,that
temba,Temba
tengerai,seas
terezim,Terezim
tevera,follow up
theories,theories
thirsty,thirsty
though,though
tichikura,we grow up
till,till
tinawo,we have
tinoendesa,we submit
tirikuti,we are saying
tiudze,tell us
tizivane,We should have to have
toga,toga
tora,tora
toxic,toxic
tozoona,then
tsom,showed
tuka,disperse
tumirai,send
twins,twins
uchienda,off
uchinge,while
ufunge,swear
unkols,unch
unogwara,you are right
unongoona,you just see
unongowona,you just see
unotoita,you even do
unotoshaya,you just lack
unozoona,you will see
urionline,urionline
uripo,you are there
usa,usa
usaita,don't do
username,username
vachida,like
vachidzidza,studying
vachigadzira,making
vachijola,injola
vachipihwa,being given
vachiramba,refusing
vachirova,striking
vadii,wage
vadye,they may eat
vaenda,they are gone
vafundisi,clergymen
vaibika,vaibika
vaigona,they could
vaimbi,musicians
vaipfeka,they wore
vaka,guard
vakabva,they left
vakajaidzwa,they were faded
vakanyarara,are silent
vakapfeka,they are wearing
vakasaina,have signed
vakazvipira,they are committed
vakuenda,they went
vamboita,have ever been
vange,there are
vanobvumirana,they agree
vanoisa,they put
vanomhanya,they run
vanoona,they see
vanorova,they beat
vanorwirawo,they also fight
vanoshora,they criticize
vanosvika,they arrive
vanotarisira,they expect
vanotaura,they talk
vapera,they are over
varamba,they have rejected
varikutiza,they are running away
varimi,farmers
varwadziwa,they are hurt
vasiyana,they are different
vatambi,players
vavhote,vote
vawanda,they have multiplied
vazive,know them
vekuti,they
vembwa,of the dog
vevana,for children
vharira,block
vhesi,verse
vhoti,vote
vice,vice
villas,villas
visit,visit
waiziva,you knew
walzy,walzy
wandiri,I am
wanna,wanna
washadaya,he crashed
wasnâ€™t,wasnâ€™t
wechikadzi,the female
wee,wee
wekuda,of love
wekutanga,wekutanga
wembudzi,of goats
wemumwe,of one's
western,western
wezim,wezim
winning,winning
woisa,put
yaanayo,"""Play Button"
yadonha,it's dropped
yakabatana,connected
yakaruma,bitter
yakatumirwa,posted
yakazara,full
yamuka,YAmuka
yapa,deviate
yapera,is completed
yeafrima,of the agriculture
yebasa,yebasa
yechibage,of corn
yegukurahundi,of the grain
yekucheka,for cutting
yekupedza,to finish
yekurarahouse,of sleephouse
yekuraratownhouse,yekuraratownhouse
yekuroja,for a shop
yekut,to
yemazuva,of days
yemhando,yemhando
yemukati,internal
yepamusoro,uppercase
yevanhu,of people
ziya,will
zondo,zondo
zvakabva,it came from
zvamutori,what is
zvega,only
zvemashuwa,symptom
zvemukati,content
zvikuru,very
zvikwereti,loans
zvinei,What is
zvinokuita,it makes you
zvinokwanisa,can
zvinonaka,delicious
zvinorevei,what does it mean
zvinoshamisa,amazing
zvinosiririsa,sad
zvinotengeswa,are sold
zvirizvo,it's
zviye,of
ĞµÑĞ»Ğ¸,If
Ö„Ö€Õ«Õ½Õ¿Õ¸Õ½,Christ
××©×¤×—×ª,Family
×¢×“,to
ØµÙˆØª,voice
à®…à®´à¯ˆà®¤à¯à®¤à¯à®•à¯à®•à¯Šà®£à¯à®Ÿà¯,Carrying
à®…à®µà®©à¯,He
á€á€­á€¯á€·,Into
â€“,
ğŸ‡¿ğŸ‡¼,
ğŸ‘‰,
ğŸ‘ğŸ¿,
ğŸ˜¢,
ğŸ˜£,
ğŸ˜¹ğŸ˜¹ğŸ˜¹ğŸ˜¹,
ğŸ™†â€â™€ï¸,
ğŸ™,
ğŸ¤¦ğŸ¾â€â™€ï¸,
