token,token_en,label,PMI,pmi_sign,polarity_sign,agreement,English,French,Shona,Zulu,Xhosa,Afrikaans,Sepedi,Score,Sentiment,Nature
#africa,#africa,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
#edworks,#edworks,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
#gpzvhrk,#gpzvhrk,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
#issawholenewvibe,#issawholenewvibe,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
#jobs,#jobs,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
#jobszimbabwe,#jobszimabwe,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
#legacyrealestate,#legacyrealestate,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
#partycipate,#participate,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
#rawsonproperties,#rawsonproperties,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
#redmarketsunday,#redmarketsGunday,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
#registertovote,#registertovote,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
#rip,#rip,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
#shoko2022,#shoko2022,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
#skyryanproperties,#skyryanproperties,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
#thehubzw,#TheHubzw,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
#zanupfmustgo,#zanupfumstgo,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
$30,$30,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
$60,$60,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
*,,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
00,00,neutral,4.033942286620695,0,,mismatch,,,,,,,,,,
07,07,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
08,08,neutral,4.163225303565661,0,,mismatch,,,,,,,,,,
100%,100%,neutral,4.033942286620695,0,,mismatch,,,,,,,,,,
13,13,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
1998,1998,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
207,207,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
2am,2am,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
33,33,neutral,4.00794707808775,0,,mismatch,,,,,,,,,,
39,39,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
40k,40k,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
5am,5am,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
5kg,5kg,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
70,70,neutral,4.033942286620695,0,,mismatch,,,,,,,,,,
77,77,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
=,,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@alpha,@alpha,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@alwyn,@alwyn,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@anti,@anti,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@antipeaceman,@antipeaceman,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@arniek25aarnold,@arniek25aarnold,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
@arthur85026546,@arthur85026546,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@auzy,@auzy,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@babatafi,@babati,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@bellamelz12,@bellamelz12,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@bernsoft2,@Bernsoft2,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@black,@black,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@boriscde,@boriscde,neutral,3.9033581768105505,0,,mismatch,,,,,,,,,,
@bradelyboy,@bradelyboy,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@buhle,@ beauty,negative,1.9038076624503113,-1,,mismatch,,,,,,,,,,
@castlelagerzw,@castlelagerzw,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
@chris79016670,@chris79016670,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
@costmillions,@costmillions,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@crussymalvin,@crussymalvin,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@dandepartners,@dandepartners,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@dave,@dave,neutral,3.9408328822292136,0,,mismatch,,,,,,,,,,
@david7zoe,@ David7zoe,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
@denfordngadzio1,@ Denfordao1,neutral,3.993300302123349,0,,mismatch,,,,,,,,,,
@designerguyzw,@designerguyzw,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@dialo,@dialo,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
@eargroundzw,@eargroundzw,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@eddie,@eddie,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@effort,@effort,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@ekayzee,@ekayzee,neutral,4.066363764313072,0,,mismatch,,,,,,,,,,
@elliotlinksync,@elliotlinksync,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@elonmusk,@elon musk,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@emteeen,@emteen,neutral,3.9408328822292136,0,,mismatch,,,,,,,,,,
@everjoicewin,@everjoicewin,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
@faffienesongano,@Faffienesongano,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@fatso4real,@fatso4real,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@frcombo,@frcombo,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@gnashkid,@gnashkid,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@gr4youdontlike,@gr4youdontlike,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@gushaz28,@gushaz28,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@harare,@harare,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@hellen,@hellen,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@hermanmashaba,@hermanmashaba,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@iammisstc,@iammisstc,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
@imnotaforeigner,@IMNOTAFEIGNER,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@irvinesz,@IRVINESZ,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
@ishemagos,@ishemagos,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@itsstartup,@itsstartup,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@jaisonshazhiwe,@jaisonshazhiwe,neutral,3.9408328822292136,0,,mismatch,,,,,,,,,,
@joebiden,@joebiden,positive,2.937148931531134,1,,mismatch,,,,,,,,,,
@kaviyagertrude,@kaviyagertrude,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@kingmhare1,@kingmhare1,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@kudakwaishe19,@ to Revhebesa19,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@ladenraww,@ladenraww,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@leninroger,@leninroger,neutral,3.9408328822292136,0,,mismatch,,,,,,,,,,
@lisah,@lisah,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@lordsalisburry,@lordsalisburry,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@lovemore070,@lovemore070,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@lovenesssilenje,@lovenessSilenje,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@luciferstar,@luciferstar,neutral,4.355870381508057,0,,mismatch,,,,,,,,,,
@lyn,@lyn,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@machenjerap,@machenjerap,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@madhube01,@KUBUBU01,negative,1.9038076624503113,-1,,mismatch,,,,,,,,,,
@maluvamalvern,@maluvamalvern,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@marrionmubawu,@marrionmubawu,neutral,4.13347796017161,0,,mismatch,,,,,,,,,,
@marthasekeramay,@marthasekeramay,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@marvelous,@marvelous,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@mavasaobey,@mavaxobey,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@mcchenje,@mcchenje,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@messangerbro,@messangerbro,neutral,4.355870381508057,0,,mismatch,,,,,,,,,,
@mhtestd,@mhtestd,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@mhungu,@,negative,1.9038076624503113,-1,,mismatch,,,,,,,,,,
@mhurirofarai,@sharaw,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@michaelbucwa,@michaelbucwa,neutral,4.355870381508057,0,,mismatch,,,,,,,,,,
@missv,@missv,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
@mitchie,@mitchie,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
@munamati7,@ is a worshiper7,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@ndauvarsity,@ndauvarsity,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@netonecellular,@netonerellular,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@ngpindemukomana,@gil,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@nicksonmpofu,@nicksonmofu,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@noth,@noth,positive,2.973674807556248,1,,mismatch,,,,,,,,,,
@omasaraure,@sover,neutral,3.993300302123349,0,,mismatch,,,,,,,,,,
@oppamuchinguri,@oppamuchinguri,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@peemix01,@peemix01,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@phillip,@phillip,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
@piersmorgan,@piersmorgan,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@rachel,@rachel,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@realhusband1,@Realhusband1,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@redmarketsunday,@redmarketsunday,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@richardtawanda,@richardtawanda,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@rno,@rno,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@rufarorufaro7,@ rife happy7,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
@rutendocindy,@ricutocindy,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@ruth9027,@ruth9027,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@sabhuku,@sa book,neutral,3.993300302123349,0,,mismatch,,,,,,,,,,
@sarahtaye81,@sarahtaye81,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@shanon,@shanon,negative,1.9038076624503113,-1,,mismatch,,,,,,,,,,
@shariwa,@shariwa,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
@sharlene898,@sharlene898,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@sheconquers4,@sheconquers4,neutral,3.993300302123349,0,,mismatch,,,,,,,,,,
@sibert,@sibert,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@sire,@sire,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@slender,@slender,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@smangovacho,@smangovacho,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@takudzwa0117,@ Archeo 0117,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@takudzwamac,@taignumac,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@talemagara,@talemagara,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@tamiswa,@Topped,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@tapiwamunjoma,@tor-adjustment,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@tawandachiware3,@ Tawchyware3,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@tawazwilson,@tawazwilson,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@tcnemaungwe,@tcnemangwe,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@teachers,@teachers,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@teemadzika,@temadzika,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
@thaslickpastor,@thaslickpastor,neutral,4.066363764313072,0,,mismatch,,,,,,,,,,
@theavengerzwl,@theavengerzwl,neutral,4.203867288063007,0,,mismatch,,,,,,,,,,
@therealbigtee1,@therealbigtee1,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@tichafatmudzana,@chaafatology,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@tinashechirape,@stinachchipe,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
@tinei2010,@Tinei2010,neutral,3.9773587582543275,0,,mismatch,,,,,,,,,,
@tinotendaphile2,@ we have augeepho2,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
@tirimusango,@Vivobu,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@tonde,@tonde,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@vagudo11,@vagudo11,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
@villageman263,@villageman263,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
@wezhex,@wezhex,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@whatsup,@whatsup,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@yellowzimbabwe,@yellowzimbabwe,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@zimta01,@zimta01,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@zse,@Zse,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@zwolugazwothed,@zwolugazwothed,neutral,4.355870381508057,0,,mismatch,,,,,,,,,,
abuser,abuser,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
achahwina,will win,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
acharamba,will remain,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
achitadza,sinning,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
adeepisa,adepisa,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
adzingwa,is dismissed,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
agadzirise,correct,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
agent,agent,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
ahead,ahead,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
ain,ain,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
aitwa,was made,neutral,4.13347796017161,0,,mismatch,,,,,,,,,,
akafanana,the same,neutral,3.9408328822292136,0,1.0,mismatch,The same,Pareil,Zvimwe chete,Okufanayo,Enjalo,Dieselfde,E tšoanang,4.0,Positif,Mot
akahwina,he won,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
akajeka,it is clear,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
akakundikana,failed,positive,2.8805654031647667,1,1.0,match,Failed,  Echoué,Yakundikana,Yehlulekile,Ayiphumelelanga,Misluk,Paletšwe,3.0,Positif,Mot
akakundikana,failed,positive,2.8805654031647667,1,-1.0,mismatch,Failed,Echoué,Yakundikana,Yehlulekile,Ayiphumelelanga,Misluk,E hlotsoe,-1.0,Negatif,Verbe
akakundikana,failed,positive,2.8805654031647667,1,1.0,match,Failed,Echoué,Yakundikana,Yehlulekile,Ayiphumelelanga,Misluk,E hlotsoe,1.0,Positif,Verbe
akangofanana,he's just the same,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
akanyarara,quiet,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
akapera,ended,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
akapfuma,he is rich,neutral,4.355870381508057,0,,mismatch,,,,,,,,,,
akapusa,stupid,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
akaromba,she rocked,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
akarwa,fought,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
akatadza,he failed,neutral,4.163225303565661,0,,mismatch,,,,,,,,,,
akataurirwa,was told,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
akuna,No,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
akusi,It's not,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
akutonzi,utichi,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
amo,amo,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
ando,ando,positive,2.973674807556248,1,,mismatch,,,,,,,,,,
andy,andy,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
anedzungu,Show,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
anemakore,she is a cloudy,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
anobika,cooks,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
anodhura,is expensive,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
anokunda,wins,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
anonwa,drinking,neutral,4.355870381508057,0,,mismatch,,,,,,,,,,
anonyepa,he is lying,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
anosvika,up to,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
anytime,anytime,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
apartment,apartment,positive,2.973674807556248,1,,mismatch,,,,,,,,,,
area,area,positive,2.9212073876621125,1,1.0,match,area,aire,nharaunda,indawo,indawo,area,Sebaka,3.0,Positif,Mot
area,area,positive,2.9212073876621125,1,0.0,mismatch,Area,Aire,Nharaunda,Indawo,Indawo,Area,Sebaka,0.0,Neutre,Mot
arikupi,where is he,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
arikurova,he is striking,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
asingazive,unconscious,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
atadza,has failed,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
atone,atone,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
attacking,attacking,neutral,4.163225303565661,0,,mismatch,,,,,,,,,,
auction,auction,neutral,3.9408328822292136,0,,mismatch,,,,,,,,,,
avalon,Avalon,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
avenue,avenue,positive,2.9915967155535106,1,,mismatch,,,,,,,,,,
award,award,neutral,4.355870381508057,0,,mismatch,,,,,,,,,,
aye,aye,neutral,4.066363764313072,0,,mismatch,,,,,,,,,,
banking,banking,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
bans,bans,neutral,4.13347796017161,0,,mismatch,,,,,,,,,,
bbe,bbe,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
beat,beat,positive,2.9212073876621125,1,1.0,match,Beat,Battre,Kurova,Shaya,Ukubetha,Slag,Otla,4.0,Positif,Mot
bhule,bhule,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
billion,billion,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
blaming,blaming,positive,2.8805654031647667,1,,mismatch,,,,,,,,,,
blind,blind,negative,1.903807662450311,-1,-1.0,match,Blind,Aveugle,Bofu,-Ngaboniyo,Ukungaboni,Blind,E foufetse,-6.0,Negatif,Mot
bloody,bloody,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
bodo,will,positive,3.0060962852486255,1,1.0,match,will,volonter,kuda,isifiso,iya,begeerte,thato,3.0,Positif,Mot
bodo,will,positive,3.0060962852486255,1,0.0,mismatch,will,testament,kuda,isifiso,iya,begeerte,thato,0.0,neutrre ,Mot
bodo,will,positive,3.0060962852486255,1,1.0,match,Will,Volonté,Kuda,Isifiso,Iya,Begeerte,Thato,4.77272727272727,Positif,Mot
bodo,will,positive,3.0060962852486255,1,1.0,match,Will,Volonté,Kuda,Isifiso,Iya,Begeerte,Thato,7.0,Positif,Mot
bonyora,bother,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
bra,bra,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
bread,bread,positive,3.1435998089985606,1,1.0,match,bread,pain,chingwa,isinkwa,isonka,brood,Bohobe,1.0,Positif,Mot
brooke,brooke,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
buat,create,neutral,4.3558703815080575,0,1.0,mismatch,create,créer,gadzira,dala,dala,skep,theha,1.0,Positif,Verbe
buat,create,neutral,4.3558703815080575,0,1.0,mismatch,create,créer,gadzira,dala,dala,skep,theha,6.0,Positif,Verbe
buat,create,neutral,4.3558703815080575,0,0.0,match,Create,Créer,Gadzira,Dala,Dala,Skep,Theha,0.0,Neutre,Mot
buat,create,neutral,4.3558703815080575,0,1.0,mismatch,Create,Créer,Gadzira,Dala,Dala,Skep,Theha,9.0,Positif,Verbe
budiriro,success,positive,2.973674807556248,1,,mismatch,,,,,,,,,,
bulilima,Bulalalima,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
buri,buri,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
butcheries,butcheries,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
candy,candy,positive,2.9915967155535106,1,,mismatch,,,,,,,,,,
ccczimbabwe,CCCCGAH,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
chairi,chairi,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
chaita,it has done,positive,2.8805654031647667,1,,mismatch,,,,,,,,,,
chakanaka,good,positive,3.14359980899856,1,1.0,match,Good,bonne,Kugona,Kuhle ngokuncomekayo,Kulungile,Goed,E ntle,3.0,Positif,Mot
chakanaka,good,positive,3.14359980899856,1,1.0,match,GOOD,bien,KUGONA,Kuhle ngokuncomekayo,KULUNGILE,Goed,E ntle,1.0,Positif,Mot
